,the weight of the stock-picking concept,,,,,,the original investment performance indicator,,,,,,the normalized  investment performance indicator,,,,,
ID, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
1,1.000,0.000,0.000,0.000,0.000,0.000,22.18%,6.29%,1.58044040356646,16.44%,65.00%,80.00%,0.647,0.688,0.800,0.800,0.457,0.650
2,0.000,1.000,0.000,0.000,0.000,0.000,14.24%,3.99%,1.20756114947585,12.08%,55.00%,80.00%,0.492,0.495,0.488,0.461,0.286,0.650
3,0.000,0.000,1.000,0.000,0.000,0.000,29.57%,7.62%,1.31686207007236,14.78%,65.00%,85.00%,0.791,0.800,0.580,0.671,0.457,0.725
4,0.000,0.000,0.000,1.000,0.000,0.000,0.21%,1.25%,1.43796367969383,15.97%,50.00%,55.00%,0.218,0.264,0.681,0.764,0.200,0.275
5,0.000,0.000,0.000,0.000,1.000,0.000,3.05%,1.23%,1.10928734225536,10.45%,60.00%,75.00%,0.274,0.263,0.406,0.333,0.371,0.575
6,0.000,0.000,0.000,0.000,0.000,1.000,8.83%,3.14%,1.47953852985436,15.19%,55.00%,65.00%,0.387,0.423,0.716,0.703,0.286,0.425
7,0.500,0.500,0.000,0.000,0.000,0.000,29.75%,7.16%,0.902055261328428,10.25%,80.00%,85.00%,0.795,0.762,0.233,0.318,0.714,0.725
8,0.500,0.000,0.500,0.000,0.000,0.000,26.86%,7.14%,1.36887979640848,15.28%,65.00%,75.00%,0.738,0.760,0.623,0.710,0.457,0.575
9,0.000,0.500,0.500,0.000,0.000,0.000,28.23%,6.96%,1.04927138382189,11.51%,80.00%,85.00%,0.765,0.745,0.356,0.416,0.714,0.725
10,0.500,0.000,0.000,0.500,0.000,0.000,20.03%,5.33%,1.10871549054225,12.28%,75.00%,70.00%,0.605,0.608,0.406,0.476,0.629,0.500
11,0.000,0.500,0.000,0.500,0.000,0.000,11.94%,3.40%,1.05805568485851,11.20%,60.00%,80.00%,0.447,0.445,0.364,0.392,0.371,0.650
12,0.000,0.000,0.500,0.500,0.000,0.000,24.25%,6.39%,1.18958930293802,13.51%,70.00%,85.00%,0.688,0.697,0.473,0.572,0.543,0.725
13,0.500,0.000,0.000,0.000,0.500,0.000,18.15%,4.92%,1.21834036559764,12.35%,70.00%,85.00%,0.568,0.573,0.497,0.482,0.543,0.725
14,0.000,0.500,0.000,0.000,0.500,0.000,8.65%,2.42%,0.916896278879272,8.74%,60.00%,90.00%,0.383,0.362,0.246,0.200,0.371,0.800
15,0.000,0.000,0.500,0.000,0.500,0.000,19.54%,5.09%,1.02851719792512,10.98%,75.00%,90.00%,0.596,0.587,0.339,0.375,0.629,0.800
16,0.000,0.000,0.000,0.500,0.500,0.000,-0.72%,0.49%,1.1419565597091,11.95%,55.00%,70.00%,0.200,0.200,0.434,0.450,0.286,0.500
17,0.500,0.000,0.000,0.000,0.000,0.500,20.64%,5.71%,1.36470891519764,14.57%,65.00%,75.00%,0.617,0.640,0.620,0.654,0.457,0.575
18,0.000,0.500,0.000,0.000,0.000,0.500,20.03%,5.27%,1.10465895420441,12.00%,65.00%,80.00%,0.605,0.602,0.403,0.454,0.457,0.650
19,0.000,0.000,0.500,0.000,0.000,0.500,22.92%,6.23%,1.28611536585045,14.60%,65.00%,70.00%,0.662,0.683,0.554,0.657,0.457,0.500
20,0.000,0.000,0.000,0.500,0.000,0.500,7.15%,2.66%,1.27420997455208,14.37%,55.00%,50.00%,0.354,0.383,0.544,0.639,0.286,0.200
21,0.000,0.000,0.000,0.000,0.500,0.500,5.61%,2.07%,1.31196999833117,12.64%,60.00%,65.00%,0.324,0.333,0.576,0.504,0.371,0.425
22,0.333,0.333,0.333,0.000,0.000,0.000,30.01%,7.40%,1.06721770622364,12.06%,85.00%,85.00%,0.800,0.781,0.371,0.459,0.800,0.725
23,0.333,0.333,0.000,0.333,0.000,0.000,26.16%,6.37%,0.862257181782766,9.71%,85.00%,90.00%,0.725,0.695,0.200,0.276,0.800,0.800
24,0.333,0.000,0.333,0.333,0.000,0.000,25.29%,6.52%,1.14621140883728,12.87%,75.00%,70.00%,0.708,0.708,0.437,0.522,0.629,0.500
25,0.000,0.333,0.333,0.333,0.000,0.000,23.14%,5.88%,1.02522694148741,11.28%,80.00%,80.00%,0.666,0.654,0.336,0.398,0.714,0.650
26,0.333,0.333,0.000,0.000,0.333,0.000,19.41%,4.90%,0.865789536678537,9.29%,80.00%,85.00%,0.593,0.571,0.203,0.243,0.714,0.725
27,0.333,0.000,0.333,0.000,0.333,0.000,24.11%,6.29%,1.22205461371747,13.07%,70.00%,90.00%,0.685,0.688,0.501,0.538,0.543,0.800
28,0.000,0.333,0.333,0.000,0.333,0.000,19.00%,4.81%,0.889621833936658,9.33%,80.00%,90.00%,0.585,0.564,0.223,0.246,0.714,0.800
29,0.333,0.000,0.000,0.333,0.333,0.000,15.17%,4.05%,1.02623592478609,10.34%,65.00%,80.00%,0.510,0.500,0.337,0.325,0.457,0.650
30,0.000,0.333,0.000,0.333,0.333,0.000,5.69%,1.78%,0.95005973510497,9.44%,60.00%,80.00%,0.325,0.308,0.273,0.255,0.371,0.650
31,0.000,0.000,0.333,0.333,0.333,0.000,16.55%,4.39%,1.03267545378547,10.64%,70.00%,90.00%,0.537,0.529,0.342,0.348,0.543,0.800
32,0.333,0.333,0.000,0.000,0.000,0.333,27.94%,6.82%,0.894291581740562,10.60%,80.00%,80.00%,0.760,0.733,0.227,0.345,0.714,0.650
33,0.333,0.000,0.333,0.000,0.000,0.333,24.29%,6.52%,1.31297562727847,14.66%,65.00%,70.00%,0.688,0.708,0.577,0.661,0.457,0.500
34,0.000,0.333,0.333,0.000,0.000,0.333,28.80%,7.18%,1.09791237160339,12.45%,75.00%,80.00%,0.776,0.763,0.397,0.489,0.629,0.650
35,0.333,0.000,0.000,0.333,0.000,0.333,15.93%,4.39%,1.04815140483215,11.92%,70.00%,65.00%,0.525,0.528,0.355,0.448,0.543,0.425
36,0.000,0.333,0.000,0.333,0.000,0.333,16.64%,4.43%,0.961474065301305,10.97%,65.00%,75.00%,0.539,0.532,0.283,0.374,0.457,0.575
37,0.000,0.000,0.333,0.333,0.000,0.333,21.28%,5.78%,1.20118270306259,13.78%,70.00%,70.00%,0.630,0.645,0.483,0.593,0.543,0.500
38,0.333,0.000,0.000,0.000,0.333,0.333,19.84%,5.50%,1.37968626091211,14.15%,70.00%,80.00%,0.602,0.622,0.632,0.622,0.543,0.650
39,0.000,0.333,0.000,0.000,0.333,0.333,13.61%,3.63%,0.990142126972353,9.71%,55.00%,85.00%,0.480,0.464,0.307,0.275,0.286,0.725
40,0.000,0.000,0.333,0.000,0.333,0.333,22.65%,5.96%,1.1839961819191,12.94%,70.00%,75.00%,0.656,0.661,0.469,0.528,0.543,0.575
41,0.000,0.000,0.000,0.333,0.333,0.333,1.16%,1.20%,1.3091877304767,14.06%,50.00%,50.00%,0.237,0.260,0.573,0.615,0.200,0.200
42,0.250,0.250,0.250,0.250,0.000,0.000,27.50%,6.84%,1.02802871894279,11.64%,85.00%,85.00%,0.751,0.735,0.338,0.426,0.800,0.725
43,0.250,0.250,0.250,0.000,0.250,0.000,25.62%,6.39%,1.0284686868621,11.08%,80.00%,90.00%,0.714,0.697,0.339,0.383,0.714,0.800
44,0.250,0.250,0.000,0.250,0.250,0.000,16.35%,4.21%,0.887199273376653,9.12%,75.00%,85.00%,0.533,0.513,0.221,0.230,0.629,0.725
45,0.250,0.000,0.250,0.250,0.250,0.000,23.07%,5.92%,1.08146677439444,11.58%,70.00%,85.00%,0.665,0.657,0.383,0.421,0.543,0.725
46,0.000,0.250,0.250,0.250,0.250,0.000,16.12%,4.18%,0.915069481971682,9.40%,70.00%,85.00%,0.529,0.510,0.244,0.252,0.543,0.725
47,0.250,0.250,0.250,0.000,0.000,0.250,28.09%,7.06%,1.08141567046545,12.64%,75.00%,85.00%,0.763,0.753,0.383,0.504,0.629,0.725
48,0.250,0.250,0.000,0.250,0.000,0.250,23.88%,5.95%,0.885613987015488,10.41%,70.00%,85.00%,0.680,0.660,0.220,0.330,0.543,0.725
49,0.250,0.000,0.250,0.250,0.000,0.250,24.33%,6.42%,1.17513406133545,13.79%,70.00%,65.00%,0.689,0.700,0.461,0.593,0.543,0.425
50,0.000,0.250,0.250,0.250,0.000,0.250,24.13%,6.21%,1.08849983037164,12.40%,75.00%,80.00%,0.685,0.682,0.389,0.486,0.629,0.650
51,0.250,0.250,0.000,0.000,0.250,0.250,24.44%,6.03%,0.908558879858028,9.91%,80.00%,85.00%,0.691,0.666,0.239,0.291,0.714,0.725
52,0.250,0.000,0.250,0.000,0.250,0.250,24.92%,6.56%,1.30145407560761,14.00%,70.00%,80.00%,0.701,0.711,0.567,0.610,0.543,0.650
53,0.000,0.250,0.250,0.000,0.250,0.250,23.17%,5.84%,1.01368370852621,10.81%,80.00%,80.00%,0.666,0.650,0.327,0.361,0.714,0.650
54,0.250,0.000,0.000,0.250,0.250,0.250,16.67%,4.54%,1.06851009380207,11.76%,70.00%,70.00%,0.540,0.541,0.372,0.435,0.543,0.500
55,0.000,0.250,0.000,0.250,0.250,0.250,10.98%,3.10%,1.01362853110589,10.42%,55.00%,75.00%,0.429,0.419,0.326,0.331,0.286,0.575
56,0.000,0.000,0.250,0.250,0.250,0.250,19.19%,5.17%,1.13350154793691,12.41%,65.00%,75.00%,0.589,0.594,0.427,0.486,0.457,0.575
57,0.200,0.200,0.200,0.200,0.200,0.000,24.23%,6.03%,0.975507153222619,10.42%,80.00%,85.00%,0.687,0.667,0.295,0.331,0.714,0.725
58,0.200,0.200,0.200,0.200,0.000,0.200,26.76%,6.74%,1.01917258093504,12.09%,75.00%,85.00%,0.736,0.726,0.331,0.461,0.629,0.725
59,0.200,0.200,0.200,0.000,0.200,0.200,27.64%,6.91%,1.08058288337879,12.03%,75.00%,85.00%,0.754,0.741,0.382,0.456,0.629,0.725
60,0.200,0.200,0.000,0.200,0.200,0.200,19.50%,4.96%,0.908428925643007,9.80%,80.00%,85.00%,0.595,0.576,0.239,0.282,0.714,0.725
61,0.200,0.000,0.200,0.200,0.200,0.200,24.20%,6.28%,1.14972987871062,12.73%,75.00%,75.00%,0.687,0.687,0.440,0.511,0.629,0.575
62,0.000,0.200,0.200,0.200,0.200,0.200,20.01%,5.13%,0.99765594882205,10.54%,70.00%,90.00%,0.605,0.591,0.313,0.341,0.543,0.800
63,0.167,0.167,0.167,0.167,0.167,0.167,26.69%,6.63%,0.998147585233246,11.20%,80.00%,85.00%,0.735,0.717,0.314,0.392,0.714,0.725